자치구,동,동별 독거노인 인구 합계,동별 강좌 총 갯수,동별 강좌 총 정원
종로구,사직동,590,1,50
종로구,삼청동,240,,
종로구,부암동,489,,
종로구,평창동,754,,
종로구,무악동,334,6,140
종로구,교남동,503,3,80
종로구,가회동,296,,
종로구,종로1.2.3.4가동,1285,14,360
종로구,종로5.6가동,501,,
종로구,이화동,508,,
종로구,창신1동,646,,
종로구,창신2동,631,,
종로구,창신3동,326,1,34
종로구,숭인1동,433,3,90
종로구,숭인2동,722,,
종로구,청운효자동,604,2,70
종로구,혜화동,786,2,37
중구,소공동,80,6,58
중구,회현동,563,4,50
중구,명동,199,11,256
중구,필동,349,9,505
중구,장충동,256,7,150
중구,광희동,419,8,100
중구,을지로동,260,9,201
중구,신당5동,546,7,170
중구,황학동,608,5,382
중구,중림동,569,15,118
중구,신당동,523,7,110
중구,다산동,676,6,200
중구,약수동,1016,5,295
중구,청구동,719,13,200
중구,동화동,334,23,384
용산구,후암동,887,,
용산구,용산2가동,555,3,90
용산구,남영동,893,3,75
용산구,원효로2동,527,2,30
용산구,효창동,290,6,225
용산구,용문동,446,,
용산구,이촌1동,837,10,475
용산구,이촌2동,388,,
용산구,이태원1동,378,5,129
용산구,이태원2동,501,8,300
용산구,서빙고동,502,6,110
용산구,보광동,814,1,35
용산구,청파동,948,10,300
용산구,원효로1동,515,,
용산구,한강로동,860,,
용산구,한남동,1013,16,952
성동구,왕십리2동,742,,
성동구,마장동,1201,9,142
성동구,사근동,498,5,264
성동구,행당1동,633,,
성동구,행당2동,1077,,
성동구,응봉동,562,13,369
성동구,금호1가동,958,9,182
성동구,금호4가동,712,11,201
성동구,성수1가1동,672,,
성동구,성수1가2동,489,,
성동구,성수2가1동,1022,,
성동구,성수2가3동,512,,
성동구,송정동,718,10,193
성동구,용답동,950,10,380
성동구,왕십리도선동,1253,16,349
성동구,금호2.3가동,1103,,
성동구,옥수동,934,10,179
광진구,화양동,621,1,20
광진구,군자동,784,4,105
광진구,중곡1동,635,10,205
광진구,중곡2동,708,13,323
광진구,중곡3동,809,6,160
광진구,중곡4동,1168,10,315
광진구,능동,345,14,351
광진구,구의1동,753,5,129
광진구,구의2동,942,10,210
광진구,구의3동,704,7,240
광진구,광장동,538,2,121
광진구,자양1동,909,10,315
광진구,자양2동,751,13,434
광진구,자양3동,703,12,330
광진구,자양4동,1033,12,342
동대문구,회기동,435,13,323
동대문구,휘경1동,477,10,297
동대문구,휘경2동,859,14,550
동대문구,청량리동,1756,5,275
동대문구,용신동,1841,,
동대문구,제기동,1866,15,626
동대문구,전농1동,1763,7,221
동대문구,전농2동,747,13,480
동대문구,답십리2동,1231,13,462
동대문구,장안1동,1375,11,377
동대문구,장안2동,1144,8,238
동대문구,이문1동,807,18,387
동대문구,이문2동,909,12,315
동대문구,답십리1동,892,8,278
중랑구,면목2동,1350,,
중랑구,면목4동,965,,
중랑구,면목5동,494,,
중랑구,면목7동,994,,
중랑구,상봉1동,896,,
중랑구,상봉2동,883,,
중랑구,중화1동,816,5,154
중랑구,중화2동,1575,,
중랑구,묵1동,1045,23,495
중랑구,묵2동,873,,
중랑구,망우3동,1019,,
중랑구,신내1동,1184,,
중랑구,신내2동,1076,,
중랑구,면목본동,1727,,
중랑구,면목3.8동,1363,,
중랑구,망우본동,1686,,
성북구,돈암1동,627,12,260
성북구,돈암2동,563,16,425
성북구,안암동,620,20,823
성북구,보문동,665,15,420
성북구,정릉1동,624,22,500
성북구,정릉2동,940,23,490
성북구,정릉3동,914,11,290
성북구,정릉4동,1101,16,456
성북구,길음1동,822,36,1036
성북구,길음2동,584,11,230
성북구,월곡1동,1005,25,748
성북구,월곡2동,867,20,555
성북구,장위1동,991,17,804
성북구,장위2동,753,10,245
성북구,장위3동,437,12,380
성북구,성북동,764,16,328
성북구,삼선동,1011,23,620
성북구,동선동,655,19,515
성북구,종암동,1592,31,1018
성북구,석관동,1690,26,690
강북구,번1동,995,20,581
강북구,번2동,1143,8,220
강북구,번3동,1328,,
강북구,수유1동,1201,12,225
강북구,수유2동,1100,24,532
강북구,수유3동,1284,9,195
강북구,삼양동,1428,44,1263
강북구,미아동,1337,24,842
강북구,송중동,1453,9,210
강북구,송천동,1862,19,400
강북구,삼각산동,949,15,285
강북구,우이동,1209,12,192
강북구,인수동,1797,,
도봉구,쌍문1동,961,9,63
도봉구,쌍문2동,971,9,235
도봉구,쌍문3동,794,12,308
도봉구,쌍문4동,506,10,300
도봉구,방학1동,1298,,
도봉구,방학2동,1237,16,495
도봉구,방학3동,793,22,640
도봉구,창1동,1011,5,85
도봉구,창2동,1061,17,450
도봉구,창3동,791,,
도봉구,창4동,802,,
도봉구,창5동,811,14,565
도봉구,도봉1동,1550,4,90
도봉구,도봉2동,1394,12,136
노원구,월계1동,924,14,310
노원구,월계2동,1734,20,550
노원구,월계3동,1498,29,656
노원구,공릉2동,1012,22,862
노원구,하계1동,1482,36,885
노원구,하계2동,709,21,520
노원구,중계본동,556,25,480
노원구,중계1동,491,25,530
노원구,중계4동,1206,21,518
노원구,상계1동,1378,32,950
노원구,상계2동,767,35,890
노원구,상계5동,1333,27,588
노원구,상계8동,594,24,555
노원구,상계9동,729,30,785
노원구,상계10동,483,39,955
노원구,상계3.4동,1813,,
노원구,상계6.7동,1165,,
노원구,중계2.3동,2349,,
노원구,공릉1동,1676,16,427
은평구,녹번동,1816,,
은평구,불광1동,1897,4,60
은평구,갈현1동,1164,17,330
은평구,갈현2동,1051,5,85
은평구,구산동,1141,9,240
은평구,대조동,1327,8,230
은평구,응암1동,1071,17,305
은평구,응암2동,761,6,100
은평구,신사1동,932,12,375
은평구,신사2동,845,6,180
은평구,증산동,649,7,150
은평구,수색동,451,10,261
은평구,진관동,1076,18,40
은평구,불광2동,1729,4,70
은평구,응암3동,1633,9,173
은평구,역촌동,1894,6,110
서대문구,천연동,952,23,495
서대문구,홍제1동,1010,22,551
서대문구,홍제3동,896,15,362
서대문구,홍제2동,622,22,551
서대문구,홍은1동,1006,19,407
서대문구,홍은2동,1085,15,362
서대문구,남가좌1동,369,18,328
서대문구,남가좌2동,1152,22,551
서대문구,북가좌1동,501,26,606
서대문구,북가좌2동,1446,24,564
서대문구,충현동,861,33,0
서대문구,북아현동,595,24,564
서대문구,신촌동,537,11,256
서대문구,연희동,1317,28,784
마포구,용강동,642,,
마포구,대흥동,608,8,101
마포구,염리동,632,8,105
마포구,신수동,654,18,373
마포구,서교동,776,,
마포구,합정동,666,,
마포구,망원1동,725,7,125
마포구,망원2동,659,,
마포구,연남동,520,10,267
마포구,성산1동,606,,
마포구,성산2동,1596,9,190
마포구,상암동,822,,
마포구,도화동,832,17,385
마포구,서강동,703,,
마포구,공덕동,1557,3,44
마포구,아현동,547,7,225
양천구,목1동,485,10,106
양천구,목2동,842,4,40
양천구,목3동,732,12,269
양천구,목4동,721,10,152
양천구,신월1동,1166,6,120
양천구,신월2동,761,2,20
양천구,신월3동,1004,7,226
양천구,신월4동,530,4,140
양천구,신월5동,524,20,418
양천구,신월6동,286,2,17
양천구,신월7동,1133,4,41
양천구,신정1동,432,7,65
양천구,신정2동,549,3,36
양천구,신정3동,1439,4,60
양천구,신정6동,331,17,189
양천구,신정7동,1285,4,25
양천구,목5동,500,12,128
양천구,신정4동,1378,8,84
강서구,염창동,572,21,816
강서구,등촌1동,725,4,105
강서구,등촌2동,482,,
강서구,등촌3동,2448,,
강서구,화곡본동,1076,,
강서구,화곡2동,626,,
강서구,화곡3동,723,15,485
강서구,화곡4동,841,,
강서구,화곡6동,852,,
강서구,화곡8동,900,,
강서구,가양1동,487,4,80
강서구,가양2동,1547,,
강서구,가양3동,1217,,
강서구,발산1동,796,,
강서구,공항동,938,2,120
강서구,방화1동,1158,2,50
강서구,방화2동,1346,,
강서구,방화3동,1577,,
강서구,화곡1동,1779,2,600
강서구,우장산동,807,2,520
구로구,신도림동,577,12,98
구로구,구로1동,355,,
구로구,구로3동,701,14,580
구로구,구로4동,1235,,
구로구,구로5동,975,7,147
구로구,고척1동,871,5,100
구로구,고척2동,1176,2,90
구로구,개봉2동,1008,13,375
구로구,개봉3동,862,10,265
구로구,오류1동,969,8,182
구로구,수궁동,928,4,120
구로구,가리봉동,797,,
구로구,구로2동,1543,,
구로구,개봉1동,1398,,
구로구,오류2동,1321,11,50
구로구,항동,208,,
금천구,가산동,758,1,30
금천구,독산1동,1252,6,140
금천구,독산2동,992,12,940
금천구,독산3동,1163,10,809
금천구,독산4동,724,1,30
금천구,시흥1동,1715,,
금천구,시흥2동,866,13,465
금천구,시흥3동,514,,
금천구,시흥4동,952,10,335
금천구,시흥5동,1284,8,505
영등포구,여의동,885,17,314
영등포구,당산1동,798,9,170
영등포구,당산2동,664,13,410
영등포구,양평1동,542,7,165
영등포구,양평2동,446,7,280
영등포구,신길1동,1054,5,165
영등포구,신길3동,803,5,101
영등포구,신길4동,614,6,67
영등포구,신길5동,497,20,272
영등포구,신길6동,670,,
영등포구,신길7동,348,6,125
영등포구,대림1동,765,5,110
영등포구,대림2동,777,11,230
영등포구,대림3동,970,3,40
