1,청운효자동 주민센터,02-2148-5002,서울특별시 종로구 자하문로 92
2,사직동 주민센터,02-2148-5033,서울특별시 종로구 사직로9길 1
3,종로1-4가동 주민센터,02-2148-5243,서울특별시 종로구 종로17길 8
4,삼청동 주민센터,02-2148-5062,서울특별시 종로구 삼청로 107
5,가회동 주민센터,02-2148-5213,서울특별시 종로구 북촌로 35
6,종로5-6가동 주민센터,02-2148-5273,서울특별시 종로구 종로35가길 19
7,이화동 주민센터,02-2148-5304,서울특별시 종로구 이화장길 33
8,혜화동 주민센터,02-2148-5334,서울특별시 종로구 혜화로 12
9,창신1동 주민센터,02-2148-5392,서울특별시 종로구 지봉로 8-6
10,창신2동 주민센터,02-2148-5423,서울특별시 종로구 창신길 62
11,창신3동 주민센터,02-2148-5453,서울특별시 종로구 지봉로 87
12,숭인1동 주민센터,02-2148-5483,서울특별시 종로구 지봉로 86
13,숭인2동 주민센터,02-2148-5513,서울특별시 종로구 종로65길 10
14,교남동 주민센터,02-2148-5184,서울특별시 종로구 송월길 154
15,평창동 주민센터,02-2148-5122,서울특별시 종로구 평창문화로 65
16,부암동 주민센터,02-2148-5095,서울특별시 종로구 창의문로 145
17,무악동 주민센터,02-2148-5153,서울특별시 종로구 통일로14길 36
18,소공동 주민센터,02-3396-6500,서울특별시 중구 남대문로1길 31-5
19,회현동 주민센터,02-3396-6530,서울특별시 중구 퇴계로8길 46
20,명동 주민센터,02-3396-6560,서울특별시 중구 퇴계로20길 3
21,필동 주민센터,02-3396-6590,서울특별시 중구 퇴계로36길 42
22,장충동 주민센터,02-3396-6620,서울특별시 중구 장충단로8길 22
23,광희동 주민센터,02-3396-6650,서울특별시 중구 퇴계로 303-9
24,을지로동 주민센터,02-3396-6680,서울특별시 중구 충무로9길 19
25,다산동 주민센터,02-3396-6740,서울특별시 중구 동호로15길 50
26,동화동 주민센터,02-3396-6860,서울특별시 중구 다산로36길 100
27,신당5동 주민센터,02-3396-6830,서울특별시 중구 다산로44길 85
28,신당동 주민센터,02-3396-6710,서울특별시 중구 다산로 211
29,약수동 주민센터,02-3396-6770,서울특별시 중구 다산로 92
30,청구동 주민센터,02-3396-6800,서울특별시 중구 청구로3길 55
31,황학동 주민센터,02-3396-6890,서울특별시 중구 난계로11길 52
32,중림동 주민센터,02-3396-6920,서울특별시 중구 서소문로6길 16
33,후암동 주민센터,02-2199-8400,서울특별시 용산구 후암로 32-6
34,용산2가동 주민센터,02-2199-8420,서울특별시 용산구 신흥로 90
35,남영동 주민센터,02-2199-8440,서울특별시 용산구 두텁바위로 25
36,청파동 주민센터,02-2199-8460,서울특별시 용산구 청파로49길 6
37,원효로2동 주민센터,02-2199-8500,서울특별시 용산구 효창원로8길 3
38,효창동 주민센터,02-2199-8520,서울특별시 용산구 효창원로 161
39,용문동 주민센터,02-2199-8540,서울특별시 용산구 새창로12길 13
40,원효로1동 주민센터,02-2199-8480,서울특별시 용산구 백범로 350
41,한강로동 주민센터,02-2199-8560,서울특별시 용산구 한강대로38길 28
42,이촌1동 주민센터,02-2199-8580,서울특별시 용산구 이촌로71길 24
43,이촌2동 주민센터,02-2199-8600,서울특별시 용산구 이촌로18길 20
44,이태원1동 주민센터,02-2199-8620,서울특별시 용산구 보광로 104-6
45,이태원2동 주민센터,02-2199-8640,서울특별시 용산구 회나무로13길 58
46,한남동 주민센터,02-2199-8660,서울특별시 용산구 대사관로5길 1
47,서빙고동 주민센터,02-2199-8680,서울특별시 용산구 서빙고로 279
48,보광동 주민센터,02-2199-8700,서울특별시 용산구 장문로 95
49,왕십리도선동 주민센터,02-2286-7201,서울특별시 성동구 마장로 141
50,왕십리2동 주민센터,02-2286-7221,서울특별시 성동구 무학봉길 69
51,마장동 주민센터,02-2286-7241,서울특별시 성동구 마장로42길 11
52,사근동 주민센터,02-2286-7261,서울특별시 성동구 사근동길 45-8
53,행당1동 주민센터,02-2286-7281,서울특별시 성동구 고산자로10길 18
54,행당2동 주민센터,02-2286-7301,서울특별시 성동구 행당로9길 9
55,응봉동 주민센터,02-2286-7321,서울특별시 성동구 독서당로 424
56,금호1가동 주민센터,02-2286-7341,서울특별시 성동구 행당로 15
57,금호2-3가동 주민센터,02-2286-7361,서울특별시 성동구 무수막18길 1
58,금호4가동 주민센터,02-2286-7381,서울특별시 성동구 독서당로46길 26
59,옥수동 주민센터,02-2286-7401,서울특별시 성동구 독서당로 205-1
60,성수1가1동 주민센터,02-2286-7421,서울특별시 성동구 뚝섬로3길 18
61,성수1가2동 주민센터,02-2286-7441,서울특별시 성동구 왕십리로5길 3
62,성수2가1동 주민센터,02-2286-7461,서울특별시 성동구 뚝섬로 385-19
63,성수2가3동 주민센터,02-2286-7481,서울특별시 성동구 광나루로2길 35
64,송정동 주민센터,02-2286-7501,서울특별시 성동구 동일로43길 13
65,용답동 주민센터,02-2286-7521,서울특별시 성동구 용답중앙23길 20
66,중곡1동 주민센터,02-450-1501,서울특별시 광진구 긴고랑로12길 49
67,중곡2동 주민센터,02-450-1502,서울특별시 광진구 능동로 345
68,중곡3동 주민센터,02-450-1503,서울특별시 광진구 동일로76가길 28
69,중곡4동 주민센터,02-450-1504,서울특별시 광진구 긴고랑로 131
70,능동 주민센터,02-450-1505,서울특별시 광진구 천호대로112길 55
71,구의1동 주민센터,02-450-1506,서울특별시 광진구 광나루로36길 56
72,구의2동 주민센터,02-450-1507,서울특별시 광진구 천호대로136길 55
73,구의3동 주민센터,02-450-1508,서울특별시 광진구 강변역로 17
74,광장동 주민센터,02-450-1509,서울특별시 광진구 광장로 52
75,자양1동 주민센터,02-450-1510,서울특별시 광진구 자양로13길 37
76,자양2동 주민센터,02-450-1511,서울특별시 광진구 자양로3가길 26
77,자양3동 주민센터,02-450-1512,서울특별시 광진구 뚝섬로 568
78,자양제4동 주민센터,02-450-1513,서울특별시 광진구 뚝섬로26길 58
