자치구,동,합계,국민기초생활보장수급권자,저소득노인,일반,인구,65세이상고령자,전연령별독거노인비율
종로구,사직동,590,52,18,520,9806,1843,6.016724454415664
종로구,삼청동,240,16,3,221,2909,674,8.250257820556893
종로구,부암동,489,44,8,437,10333,1839,4.732410722926546
종로구,평창동,754,44,15,695,18582,3398,4.0576902378646
종로구,무악동,334,62,11,261,8592,1460,3.887337057728119
종로구,교남동,503,89,49,365,10634,1644,4.730110964829791
종로구,가회동,296,18,4,274,4418,937,6.699864191942055
종로구,종로1.2.3.4가동,1285,341,24,920,8448,1991,15.210700757575758
종로구,종로5.6가동,501,100,30,371,5656,1119,8.857850070721359
종로구,이화동,508,84,50,374,8111,1415,6.2630994945136225
종로구,창신1동,646,212,29,405,5964,1268,10.831656606304493
종로구,창신2동,631,147,16,468,9503,1793,6.640008418394191
종로구,창신3동,326,60,16,250,7107,1241,4.587026874912058
종로구,숭인1동,433,104,18,311,6388,1216,6.778334376956793
종로구,숭인2동,722,160,23,539,10178,1703,7.093731577913146
종로구,청운효자동,604,55,34,515,12633,2249,4.781128789677828
종로구,혜화동,786,75,29,682,19734,2717,3.982973548190939
중구,소공동,80,15,1,64,3011,283,2.656924609764198
중구,회현동,563,198,9,356,5757,1552,9.779398992530831
중구,명동,199,38,5,156,3685,781,5.400271370420624
중구,필동,349,36,11,302,4754,869,7.341186369373159
중구,장충동,256,46,4,206,5468,846,4.681784930504755
중구,광희동,419,79,9,331,6416,1231,6.530548628428928
중구,을지로동,260,68,10,182,1967,525,13.218098627351296
중구,신당5동,546,141,36,369,10867,1784,5.024385755038189
중구,황학동,608,176,22,410,13531,2015,4.493385559086542
중구,중림동,569,194,16,359,12801,2126,4.444965237090853
중구,신당동,523,126,25,372,9191,1442,5.690349254705691
중구,다산동,676,149,27,500,14725,2663,4.590831918505942
중구,약수동,1016,302,85,629,17354,3799,5.854558026967846
중구,청구동,719,254,34,431,14281,2700,5.034661438274631
중구,동화동,334,50,14,270,10827,1879,3.084880391613559
용산구,후암동,887,242,23,622,18202,3095,4.873090869135259
용산구,용산2가동,555,136,23,396,11272,2108,4.923704755145493
용산구,남영동,893,446,14,433,8116,1642,11.002957121734845
용산구,원효로2동,527,152,14,361,14331,2420,3.6773428232502967
용산구,효창동,290,34,6,250,10326,1459,2.808444702692233
용산구,용문동,446,127,6,313,12455,2131,3.58089120835006
용산구,이촌1동,837,17,1,819,28961,4579,2.890093574116916
용산구,이촌2동,388,53,7,328,8808,1793,4.405086285195277
용산구,이태원1동,378,63,10,305,8764,1627,4.313099041533546
용산구,이태원2동,501,89,12,400,10795,1916,4.641037517369153
용산구,서빙고동,502,87,12,403,14000,2113,3.585714285714286
용산구,보광동,814,263,44,507,15531,2817,5.241130641941923
용산구,청파동,948,251,25,672,20496,3380,4.625292740046839
용산구,원효로1동,515,90,13,412,16730,2006,3.0783024506873877
용산구,한강로동,860,176,13,671,22097,3349,3.8919310313617235
용산구,한남동,1013,195,24,794,23761,3812,4.263288582130382
성동구,왕십리2동,742,126,35,581,17416,2605,4.260450160771704
성동구,마장동,1201,192,52,957,23459,3838,5.11957031416514
성동구,사근동,498,57,28,413,13512,1496,3.685612788632327
성동구,행당1동,633,108,40,485,14363,2119,4.407157279119961
성동구,행당2동,1077,241,95,741,24151,3762,4.459442673181234
성동구,응봉동,562,39,25,498,15824,2527,3.551567239635996
성동구,금호1가동,958,256,65,637,15795,2595,6.065210509654954
성동구,금호4가동,712,134,36,542,14842,2318,4.79719714324215
성동구,성수1가1동,672,115,30,527,16851,2195,3.9878938935374753
성동구,성수1가2동,489,69,19,401,13738,1927,3.559470082981511
성동구,성수2가1동,1022,203,50,769,17146,2855,5.960573894785956
성동구,성수2가3동,512,65,22,425,11457,1872,4.468883651915859
성동구,송정동,718,158,51,509,11143,1743,6.443507134523917
성동구,용답동,950,208,57,685,12724,2144,7.466205595724615
성동구,왕십리도선동,1253,298,62,893,27588,3702,4.541829781064231
성동구,금호2.3가동,1103,195,52,856,23584,3888,4.676899592944369
성동구,옥수동,934,141,50,743,26912,4017,3.4705707491082047
광진구,화양동,621,121,16,484,25541,2348,2.431384832230531
광진구,군자동,784,227,22,535,21903,2959,3.5794183445190155
광진구,중곡1동,635,175,33,427,16190,2491,3.9221741815935762
광진구,중곡2동,708,161,54,493,22285,3227,3.1770249046443793
광진구,중곡3동,809,221,38,550,16902,2816,4.786415808780026
광진구,중곡4동,1168,320,53,795,29815,4998,3.917491195706859
광진구,능동,345,67,13,265,11913,1621,2.8959959707882144
광진구,구의1동,753,185,34,534,22700,3090,3.3171806167400884
광진구,구의2동,942,221,50,671,27444,4265,3.4324442501093135
광진구,구의3동,704,115,17,572,29588,3957,2.37934297688252
광진구,광장동,538,60,19,459,35619,3702,1.5104298267778433
광진구,자양1동,909,261,40,608,23710,3408,3.8338253901307464
광진구,자양2동,751,185,29,537,26016,3914,2.8866851168511687
광진구,자양3동,703,91,28,584,28957,4050,2.4277376800082884
광진구,자양4동,1033,287,40,706,21526,3714,4.79884790485924
동대문구,회기동,435,69,15,351,12663,1565,3.4352049277422414
동대문구,휘경1동,477,92,23,362,15362,2130,3.1050644447337588
동대문구,휘경2동,859,148,30,681,24992,3915,3.437099871959027
동대문구,청량리동,1756,720,64,972,20432,5278,8.594361785434613
동대문구,용신동,1841,595,32,1214,32602,5703,5.646892828660818
동대문구,제기동,1866,563,74,1229,27017,5741,6.906762408853686
동대문구,전농1동,1763,610,67,1086,30722,5651,5.738558687585444
동대문구,전농2동,747,198,27,522,19449,3633,3.840814437760296
동대문구,답십리2동,1231,383,48,800,29486,5485,4.174862646679781
동대문구,장안1동,1375,338,56,981,39287,6321,3.499885458294092
동대문구,장안2동,1144,273,49,822,33339,5085,3.4314166591679416
동대문구,이문1동,807,191,27,589,21205,3287,3.805706201367602
동대문구,이문2동,909,277,43,589,20947,3853,4.339523559459589
동대문구,답십리1동,892,222,28,642,29511,4149,3.022601741723425
